Name,Color,Rarity,Level,Cost,Type,AP,HP,Zone,Trait,Link,Skill,Source,Card #,Edition
Elan Ceres (Enhanced Person Number 4),White,C,4,1,PILOT,2,1,-,(Academy),-,"【Burst】Add this card to your hand. 【Activate･Action】【Once per Turn】If an enemy Unit with 1 or less AP is in play, this Unit recovers 1 HP.",GD01,98,1
Amuro Ray,Blue,C,4,1,PILOT,2,1,-,(Earth Federation) (White Base Team) (Newtype),-,【Burst】Add this card to your hand. 【When Paired】Choose 1 enemy Unit with 5 or less HP. Rest it.,ST01,10,1
Heero Yuy,Green,C,4,1,PILOT,2,1,-,(Operation Meteor),-,【Burst】Add this card to your hand. 【During Link】This Unit gets AP+1 and HP+1.,ST02,10,1
Heero Yuy,Green,C +,4,1,PILOT,2,1,-,(Operation Meteor),-,【Burst】Add this card to your hand. This Unit gets AP+1 and HP+1 while linked.,ST02,10,1
Zechs Merquise,Blue,C,5,1,PILOT,2,1,-,(OZ),-,"【Burst】Add this card to your hand. 【During Link】During your turn, when this Unit destroys an enemy Unit with battle damage, draw 1.",ST02,11,1
Zechs Merquise,Blue,C +,5,1,PILOT,2,1,-,(OZ),-,"【Burst】Add this card to your hand. 【During Link】During your turn, when this Unit destroys an enemy Unit with battle damage, draw 1.",ST02,11,1
Full Frontal,Red,C,6,1,PILOT,2,2,-,(Neo Zeon) (Cyber-Newtype),-,【Burst】Add this card to your hand. 【When Paired】You may deploy 1 (Neo Zeon)/(Zeon) Unit card that is Lv.4 or lower from your hand.,ST03,10,1
Full Frontal,Red,C +,6,1,PILOT,2,2,-,(Neo Zeon) (Cyber-Newtype),-,【Burst】Add this card to your hand. 【When Paired】You may deploy 1 (Neo Zeon)/(Zeon) Unit card that is Lv.4 or lower from your hand.,ST03,10,1
Char Aznable,Green,C,3,1,PILOT,1,1,-,(Zeon) (Newtype),-,"【Burst】Add this card to your hand. 【Attack】During this turn, this Unit gets AP+1 and, if it is a Link Unit, it gains <High-Maneuver>. (This Unit can't be blocked.)",ST03,11,1
Char Aznable,Green,C +,3,1,PILOT,1,1,-,(Zeon) (Newtype),-,"【Burst】Add this card to your hand. 【Attack】This Unit gets AP+1 during this turn. If it is a Link Unit, it also gains <High-Maneuver>. (This Unit can't be blocked.)",ST03,11,1
Kira Yamato,White,C,4,1,PILOT,2,1,-,(Earth Alliance) (Coordinator),-,【Burst】Add this card to your hand. 【Attack】Choose 1 enemy Unit. It gets AP-2 during this battle.,ST04,10,1
Kira Yamato,White,C +,4,1,PILOT,2,1,-,(Earth Alliance) (Coordinator),-,【Burst】Add this card to your hand. 【Attack】Choose 1 enemy Unit. It gets AP-2 during this battle.,ST04,10,1
Athrun Zala,Red,C,4,1,PILOT,1,2,-,(ZAFT) (Coordinator),-,"【Burst】Add this card to your hand. 【When Linked】During this turn, this Unit may choose an active enemy Unit that is Lv.5 or lower as its attack target.",ST04,11,1
Athrun Zala,Red,C +,4,1,PILOT,1,2,-,(ZAFT) (Coordinator),-,"【Burst】Add this card to your hand. 【When Linked】During this turn, this Unit may choose an active enemy Unit that is Lv.5 or lower as its attack target.",ST04,11,1
Amuro Ray,Blue,C,4,1,PILOT,2,1,-,(Earth Federation) (White Base Team) (Newtype),-,【Burst】Add this card to your hand. 【When Paired】Choose 1 enemy Unit with 5 or less HP. Rest it.,ST01,10,β
Suletta Mercury,White,C,4,1,PILOT,1,2,-,(Academy),-,【Burst】Add this card to your hand. 【Attack】【Once per Turn】Choose 1 of your Resources. Set it as active.,ST01,11,β
Suletta Mercury,White,C +,4,1,PILOT,1,2,-,(Academy),-,【Burst】Add this card to your hand. 【Attack】【Once per Turn】Choose 1 of your Resources. Set it as active.,ST01,11,β
Heero Yuy,Green,C,4,1,PILOT,2,1,-,(Operation Meteor),-,【Burst】Add this card to your hand. This Unit gets AP+1 and HP+1 while linked.,ST02,10,β
Char Aznable,Green,C,3,1,PILOT,1,1,-,(Zeon) (Newtype),-,"【Burst】Add this card to your hand. 【Attack】During this turn, this Unit gets AP+1 and, if it is a Link Unit, it gains <High-Maneuver>. (This Unit can't be blocked.)",ST03,11,β
Char Aznable,Green,C +,3,1,PILOT,1,1,-,(Zeon) (Newtype),-,"【Burst】Add this card to your hand. 【Attack】During this turn, this Unit gets AP+1 and, if it is a Link Unit, it gains <High-Maneuver>. (This Unit can't be blocked.)",ST03,11,β
Kira Yamato,White,C,4,1,PILOT,2,1,-,(Earth Alliance) (Coordinator),-,【Burst】Add this card to your hand. 【Attack】Choose 1 enemy Unit. It gets AP-2 during this battle.,ST04,10,β
Banagher Links,Blue,U,5,1,PILOT,2,2,-,(Civilian) (Newtype),-,"【Burst】Add this card to your hand. 【When Paired】If this is a Link Unit, draw 1.",GD01,88,β
Banagher Links,Blue,U +,5,1,PILOT,2,2,-,(Civilian) (Newtype),-,"【Burst】Add this card to your hand. 【When Paired】If this is a Link Unit, draw 1.",GD01,88,β
Riddhe Marcenas,Blue,C,3,1,PILOT,1,1,-,(Earth Federation),-,"【Burst】Add this card to your hand. If this Unit has <Repair>, it gets AP+1.",GD01,89,β
Chang Wufei,Green,U,4,1,PILOT,2,1,-,(Operation Meteor),-,"【Burst】Add this card to your hand. During your turn, if this Unit has <Breach>, it can't receive battle damage from enemy Units with 3 or less AP.",GD01,91,β
Guel Jeturk,White,U,3,1,PILOT,1,1,-,(Academy),-,"【Burst】Add this card to your hand. 【Activate･Main】【Once per Turn】If your opponent has 8 or more cards in their hand, set this Unit as active. It can't attack during this turn.",GD01,97,β
Suletta Mercury,White,C,4,1,PILOT,1,2,-,(Academy),-,【Burst】Add this card to your hand. 【Attack】【Once per Turn】Choose 1 of your Resources. Set it as active.,ST01,11,P
Kira Yamato,White,C,4,1,PILOT,2,1,-,(Earth Alliance) (Coordinator),-,【Burst】Add this card to your hand. 【Attack】Choose 1 enemy Unit. It gets AP-2 during this battle.,ST04,10,P
Athrun Zala,Red,C,4,1,PILOT,1,2,-,(ZAFT) (Coordinator),-,"【Burst】Add this card to your hand. 【When Linked】During this turn, this Unit may choose an active enemy Unit that is Lv.5 or lower as its attack target.",ST04,11,P
Athrun Zala,Red,C +,4,1,PILOT,1,2,-,(ZAFT) (Coordinator),-,"【Burst】Add this card to your hand. 【When Linked】During this turn, this Unit may choose an active enemy Unit that is Lv.5 or lower as its attack target.",ST04,11,P
Sayla Mass,Blue,R,3,1,PILOT,1,1,-,(Earth Federation) (White Base Team) (Newtype),-,"【Burst】Add this card to your hand. While this unit is blue, it gains <Repair 1>. (At the end of your turn, heal this unit by the specified amount)",GD01,87,P
Sayla Mass,Blue,R +,3,1,PILOT,1,1,-,(Earth Federation) (White Base Team) (Newtype),-,"【Burst】Add this card to your hand. While this Unit is blue, it gains <Repair 1>. (At the end of your turn, this Unit recovers the specified number of HP.)",GD01,87,P
Banagher Links,Blue,U,5,1,PILOT,2,2,-,(Civilian) (Newtype),-,【Burst】Add this card to your hand. 【When Linked】Draw 1.,GD01,88,P
Duo Maxwell,Green,R,4,1,PILOT,1,2,-,(Operation Meteor),-,【Burst】Add this card to your hand. 【During Link】This unit's AP does not decrease due to the opponent's effects.,GD01,90,P
Duo Maxwell,Green,R +,4,1,PILOT,1,2,-,(Operation Meteor),-,【Burst】Add this card to your hand. 【During Link】This Unit's AP can't be reduced by enemy effects.,GD01,90,P
Resource,-,C,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),R,2,1
Resource,-,C +,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),R,2,1
Resource,-,C ++,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),R,2,1
Resource,-,C,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),R,3,1
Resource,-,C +,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),R,3,1
Resource,-,C,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),R,4,1
Resource,-,C +,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),R,4,1
Resource,-,C,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),R,5,1
Resource,-,C +,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),R,5,1
Resource,-,C,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),R,6,1
Resource,-,C +,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),R,6,1
Resource,-,C,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),R,7,1
Resource,-,C +,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),R,7,1
Resource,-,C,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),R,8,1
Resource,-,C +,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),R,8,1
Resource,-,C,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),R,9,1
Resource,-,C +,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),R,9,1
Resource,-,C,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),R,1,1
Resource,-,C,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),R,1,β
Resource,-,C +,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),R,1,β
Resource,-,P,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),RP,1,P
Resource,-,P,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),RP,2,P
Resource,-,P,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),RP,3,P
Resource,-,P,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),RP,4,P
Resource,-,P,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),RP,5,P
Resource,-,P,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),RP,6,P
Resource,-,P,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),RP,7,P
Resource,-,P,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),RP,8,P
Resource,-,P,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),RP,9,P
Resource,-,P,-,-,RESOURCE,-,-,-,-,-,(Rest a Resource when paying a cost.),RP,10,P
Gundam,Blue,LR,4,3,UNIT,3,3,Space Earth,(Earth Federation) (white Base Team),[Amuro Ray],"All your (white Base Team) Units gain <Repair 1>. (At the end of your turn, this Unit recovers the specified number of HP.)【When Paired】If you have 2 or more other Units in play, draw 1.",GD01,1,1
Gundam,Blue,LR +,4,3,UNIT,3,3,Space Earth,(Earth Federation) (white Base Team),[Amuro Ray],"All your (white Base Team) Units gain <Repair 1>. (At the end of your turn, this Unit recovers the specified number of HP.)【When Paired】If you have 2 or more other Units in play, draw 1.",GD01,1,1
Gundam,Blue,LR ++,4,3,UNIT,3,3,Space Earth,(Earth Federation) (white Base Team),[Amuro Ray],"All your (white Base Team) Units gain <Repair 1>. (At the end of your turn, this Unit recovers the specified number of HP.)【When Paired】If you have 2 or more other Units in play, draw 1.",GD01,1,1
Unicorn Gundam (Destroy Mode),Blue,LR,7,6,UNIT,5,4,Space Earth,(Civilian),[Banagher Links],"When playing this card from your hand, you may destroy 1 of your Link Units with ""Unicorn Mode"" in its card name that is Lv.5. If you do, play this card as if it has 0 Lv. and cost.【Attack】Choose 1 enemy Unit. Rest it.",GD01,2,1
Unicorn Gundam (Destroy Mode),Blue,LR +,7,6,UNIT,5,4,Space Earth,(Civilian),[Banagher Links],"When playing this card from your hand, you may destroy 1 of your Link Units with ""Unicorn Mode"" in its card name that is Lv.5. If you do, play this card as if it has 0 Lv. and cost.【Attack】Choose 1 enemy Unit. Rest it.",GD01,2,1
Unicorn Gundam 02 Banshee (Destroy Mode),Blue,LR,6,4,UNIT,5,4,Space Earth,(Earth Federation),[Marida Cruz],"【During Link】【Attack】Choose 12 cards from your trash. Return them to their owner's deck and shuffle it. If you do, set this Unit as active. It gains <First Strike> during this turn. (While this Unit is attacking, it deals damage before the enemy Unit.)",GD01,3,1
Unicorn Gundam 02 Banshee (Destroy Mode),Blue,LR +,6,4,UNIT,5,4,Space Earth,(Earth Federation),[Marida Cruz],"【During Link】【Attack】Choose 12 cards from your trash. Return them to their owner's deck and shuffle it. If you do, set this Unit as active. It gains <First Strike> during this turn. (While this Unit is attacking, it deals damage before the enemy Unit.)",GD01,3,1
Guncannon,Blue,R,3,2,UNIT,2,3,Space Earth,(Earth Federation) (white Base Team),(white Base Team) Trait,"<Repair 1> (At the end of your turn, this Unit recovers the specified number of HP.) 【When Paired】Choose 1 enemy Unit with 2 or less HP. Rest it.",GD01,4,1
Unicorn Gundam (Unicorn Mode),Blue,R,4,3,UNIT,4,3,Space Earth,(Civilian),[Banagher Links],"【During Link】【Destroyed】Return this Unit's paired Pilot to its owner's hand. Then, discard 1.",GD01,5,1
Unicorn Gundam (Unicorn Mode),Blue,R +,4,3,UNIT,4,3,Space Earth,(Civilian),[Banagher Links],"【During Link】【Destroyed】Return this Unit's paired Pilot to its owner's hand. Then, discard 1.",GD01,5,1
Delta Plus,Blue,R,4,3,UNIT,4,3,Space Earth,(Earth Federation),(Earth Federation) Trait,"<Repair 1> (At the end of your turn, this Unit recovers the specified number of HP.)【During Link】This Unit gets HP+1.",GD01,6,1
Delta Plus,Blue,R +,4,3,UNIT,4,3,Space Earth,(Earth Federation),(Earth Federation) Trait,"<Repair 1> (At the end of your turn, this Unit recovers the specified number of HP.)【During Link】This Unit gets HP+1.",GD01,6,1
Noin's Aries,Blue,R,3,3,UNIT,2,3,Earth,(OZ),[Lucrezia Noin],"【Destroyed】If you have another (OZ) Unit in play, draw 1.",GD01,7,1
Guntank,Blue,U,2,1,UNIT,1,2,Space Earth,(Earth Federation) (white Base Team),-,【Deploy】Choose 1 rested enemy Unit. Deal 1 damage to it.,GD01,8,1
G-Fighter,Blue,U,3,2,UNIT,3,2,Space Earth,(Earth Federation) (white Base Team),(white Base Team) Trait,【Deploy】Choose 1 of your (white Base Team) Units. It gains <High-Maneuver> during this turn. (This Unit can't be blocked.),GD01,9,1
Unicorn Gundam 02 Banshee (Unicorn Mode),Blue,R,4,3,UNIT,4,3,Space Earth,(Earth Federation),(Cyber-Newtype) Trait,【When Paired】Choose 1 enemy Unit with 3 or less HP. Rest it.,GD01,10,1
Loto,Blue,U,2,2,UNIT,2,2,Space Earth,(Earth Federation),(Earth Federation) Trait,-,GD01,11,1
Zechs' Leo,Blue,U,3,2,UNIT,3,2,Space Earth,(OZ),(OZ) Trait,【When Paired】Choose 1 enemy Unit with 3 or less HP. Rest it.,GD01,12,1
Gundam,Blue,C,4,2,UNIT,3,4,Space Earth,(Earth Federation) (white Base Team),[Amuro Ray],-,GD01,13,1
G-Sky Easy,Blue,C,3,2,UNIT,1,3,Space Earth,(Earth Federation) (white Base Team),(white Base Team) Trait,【During Link】【Activate･Action】【Once per Turn】Choose 1 Unit. It recovers 1 HP.,GD01,14,1
Ball,Blue,C,1,1,UNIT,1,1,Space Earth,(Earth Federation),-,【Attack】Choose 1 of your Units. It recovers 1 HP.,GD01,15,1
Jegan,Blue,C,3,2,UNIT,2,3,Space Earth,(Earth Federation),-,"While you have 2 or more (Earth Federation) Units in play, this card in your hand gets cost -1.",GD01,16,1
Stark Jegan,Blue,C,3,3,UNIT,3,3,Space Earth,(Earth Federation),(Earth Federation) Trait,"<Repair 1> (At the end of your turn, this Unit recovers the specified number of HP.)",GD01,17,1
ReZEL,Blue,C,3,3,UNIT,4,3,Space Earth,(Earth Federation),-,-,GD01,18,1
Byarlant Custom,Blue,U,4,2,UNIT,3,4,Space Earth,(Earth Federation),-,"While 4 or more enemy Units are in play, this Unit gains <Blocker>. (Rest this Unit to change the attack target to it.)",GD01,19,1
Anksha,Blue,C,4,2,UNIT,3,3,Earth,(Earth Federation),-,【Deploy】Choose 1 rested enemy Unit. Deal 1 damage to it.,GD01,20,1
Pisces,Blue,C,1,1,UNIT,1,2,Earth,(OZ),-,-,GD01,21,1
Cancer,Blue,C,2,2,UNIT,2,3,Earth,(OZ),-,-,GD01,22,1
Char's Gelgoog,Green,LR,4,4,UNIT,4,3,Space Earth,(Zeon),[Char Aznable],"【Activate･Main】Discard 1 (Zeon)/(Neo Zeon) Unit card：If a Pilot is not paired with this Unit, choose 1 (Newtype) Pilot card that is Lv.3 or lower from your trash. Pair it with this Unit.",GD01,23,1
Char's Gelgoog,Green,LR +,4,4,UNIT,4,3,Space Earth,(Zeon),[Char Aznable],"【Activate･Main】Discard 1 (Zeon)/(Neo Zeon) Unit card：If a Pilot is not paired with this Unit, choose 1 (Newtype) Pilot card that is Lv.3 or lower from your trash. Pair it with this Unit.",GD01,23,1
Wing Gundam Zero,Green,LR,8,8,UNIT,5,7,Space Earth,(G Team),[Heero Yuy],<High-Maneuver> (This Unit can't be blocked.)【Deploy】Deal 3 damage to all Units that are Lv.5 or lower.,GD01,24,1
Wing Gundam Zero,Green,LR +,8,8,UNIT,5,7,Space Earth,(G Team),[Heero Yuy],<High-Maneuver> (This Unit can't be blocked.)【Deploy】Deal 3 damage to all Units that are Lv.5 or lower.,GD01,24,1
Gundam Deathscythe,Green,LR,6,4,UNIT,5,4,Earth,(Operation Meteor),[Duo Maxwell],"【When Paired･(Operation Meteor) Pilot】Place 1 rested Resource. Then, this Unit gains <First Strike> during this turn. (While this Unit is attacking, it deals damage before the enemy Unit.)",GD01,25,1
Gundam Deathscythe,Green,LR +,6,4,UNIT,5,4,Earth,(Operation Meteor),[Duo Maxwell],"【When Paired･(Operation Meteor) Pilot】Place 1 rested Resource. Then, this Unit gains <First Strike> during this turn. (While this Unit is attacking, it deals damage before the enemy Unit.)",GD01,25,1
Char's Zaku Ⅱ,Green,R,3,2,UNIT,3,2,Space Earth,(Zeon),[Char Aznable],【During Pair】【Destroyed】Deploy 1 rested [Char's Zaku Ⅱ]((Zeon)･AP3･HP1) Unit token.,GD01,26,1
Big Zam,Green,R,7,5,UNIT,5,6,Space Earth,(Zeon),[Dozle Zabi],"<Breach 4> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)【Deploy】If there are 10 or more (Zeon)/(Neo Zeon) Unit cards in your trash, deal 4 damage to all Units with <Blocker>.",GD01,27,1
Big Zam,Green,R,7,5,UNIT,5,6,Space Earth,(Zeon),[Dozle Zabi],"<Breach 4> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)【Deploy】If there are 10 or more (Zeon)/(Neo Zeon) Unit cards in your trash, deal 4 damage to all Units with <Blocker>.",GD01,27,1
Gundam Sandrock,Green,R,5,3,UNIT,4,4,Earth,(Operation Meteor),[Quatre Raberba Winner],【Deploy】You may deploy 1 (Maganac Corps) Unit card from your hand.,GD01,28,1
Shenlong Gundam,Green,R,5,4,UNIT,4,4,Earth,(Operation Meteor),[Chang Wufei],"<Breach 4> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)【Attack】Choose 1 enemy Unit with <Blocker> that is Lv.3 or lower. Destroy it.",GD01,29,1
Shenlong Gundam,Green,R,5,4,UNIT,4,4,Earth,(Operation Meteor),[Chang Wufei],"<Breach 4> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)【Attack】Choose 1 enemy Unit with <Blocker> that is Lv.3 or lower. Destroy it.",GD01,29,1
Rick Dom,Green,U,3,2,UNIT,3,3,Space,(Zeon),-,"<Breach 2> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)",GD01,30,1
Gelgoog,Green,U,4,2,UNIT,4,3,Space Earth,(Zeon),(Zeon) Trait,-,GD01,31,1
Gyan,Green,R,4,3,UNIT,4,3,Space Earth,(Zeon),[M'Quve],【When Paired･(Zeon) Pilot】Choose 1 enemy Unit with <Blocker> that is Lv.2 or lower. Destroy it.,GD01,32,1
Gundam Deathscythe,Green,U,4,2,UNIT,4,3,Earth,(Operation Meteor),[Duo Maxwell],"<Repair 1> (At the end of your turn, this Unit recovers the specified number of HP.)",GD01,33,1
Gundam Heavyarms,Green,U,4,2,UNIT,3,4,Earth,(Operation Meteor),[Trowa Barton],"【During Pair】This Unit gains <Breach 3>. (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)",GD01,34,1
Zaku II,Green,C,2,1,UNIT,2,2,Space Earth,(Zeon),-,-,GD01,35,1
Gouf,Green,C,2,2,UNIT,3,2,Earth,(Zeon),-,-,GD01,36,1
Gogg,Green,C,2,2,UNIT,2,3,Earth,(Zeon),-,-,GD01,37,1
Adzam,Green,U,5,4,UNIT,2,5,Earth,(Zeon),(Zeon) Trait,"【Deploy】If 5 or more enemy Units are in play, deal 1 damage to all enemy Units.",GD01,38,1
Dopp,Green,C,1,1,UNIT,1,1,Earth,(Zeon),-,【Deploy】Look at the top card of your deck. Return it to the top or bottom of your deck.,GD01,39,1
Wing Gundam,Green,C,5,2,UNIT,4,3,Space Earth,(Operation Meteor),[Heero Yuy],-,GD01,40,1
Shenlong Gundam,Green,C,4,3,UNIT,4,3,Earth,(Operation Meteor),[Chang Wufei],"<Breach 3> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)",GD01,41,1
Duo's Leo,Green,C,2,2,UNIT,2,2,Space Earth,(Operation Meteor),[Duo Maxwell],This Unit may choose an active enemy Unit that is Lv.2 or lower as its attack target.,GD01,42,1
Rasid's Maganac,Green,C,3,2,UNIT,2,3,Space Earth,(Maganac Corps),(Maganac Corps) Trait,"【Deploy】Choose 1 of your green Units. During this turn, it may choose an active enemy Unit with 4 or less AP as its attack target.",GD01,43,1
Kshatriya,Red,LR,5,4,UNIT,5,4,Space Earth,(Neo Zeon),[Marida Cruz],【When Paired･(Cyber-Newtype)/(Newtype) Pilot】Choose 1 to 2 enemy Units. Deal 1 damage to them.,GD01,44,1
Kshatriya,Red,LR +,5,4,UNIT,5,4,Space Earth,(Neo Zeon),[Marida Cruz],【When Paired･(Cyber-Newtype)/(Newtype) Pilot】Choose 1 to 2 enemy Units. Deal 1 damage to them.,GD01,44,1
Duel Gundam (Assault Shroud),Red,LR,5,4,UNIT,4,4,Space Earth,(ZAFT),[Yzak Jule],【When Paired】Look at the top 3 cards of your deck. You may deploy 1 (ZAFT) Unit card that is Lv.4 or lower among them. Return the remaining cards randomly to the bottom of your deck.,GD01,45,1
Duel Gundam (Assault Shroud),Red,LR +,5,4,UNIT,4,4,Space Earth,(ZAFT),[Yzak Jule],【When Paired】Look at the top 3 cards of your deck. You may deploy 1 (ZAFT) Unit card that is Lv.4 or lower among them. Return the remaining cards randomly to the bottom of your deck.,GD01,45,1
Buster Gundam,Red,LR,4,2,UNIT,1,4,Space Earth,(ZAFT),[Dearka Elthman],"【Activate･Main】<Support 3> (Rest this Unit. 1 other friendly Unit gets AP+(specified amount) during this turn.) 【During Pair･(Coordinator) Pilot】【Once per Turn】When you use this Unit's <Support> to increase a (ZAFT) Unit's AP, set this Unit as active.",GD01,46,1
Buster Gundam,Red,LR +,4,2,UNIT,1,4,Space Earth,(ZAFT),[Dearka Elthman],"【Activate･Main】<Support 3> (Rest this Unit. 1 other friendly Unit gets AP+(specified amount) during this turn.) 【During Pair･(Coordinator) Pilot】【Once per Turn】When you use this Unit's <Support> to increase a (ZAFT) Unit's AP, set this Unit as active.",GD01,46,1
Shamblo,Red,R,8,7,UNIT,6,5,Earth,(Zeon),(Newtype) Trait / (Cyber-Newtype) Trait,"【Attack】If 2 or more other rested friendly Units are in play, choose 1 enemy Unit. Deal 3 damage to it.",GD01,47,1
Shamblo,Red,R +,8,7,UNIT,6,5,Earth,(Zeon),(Newtype) Trait / (Cyber-Newtype) Trait,"【Attack】If 2 or more other rested friendly Units are in play, choose 1 enemy Unit. Deal 3 damage to it.",GD01,47,1
Zaku I Sniper Type,Red,R,2,2,UNIT,-,1,Space Earth,(Zeon),(Zeon) Trait,"【Activate･Main】<Support 1> (Rest this Unit. 1 other friendly Unit gets AP+(specified amount) during this turn.) 【Deploy】Look at the top card of your deck. If it is a (Zeon)/(Neo Zeon) Unit card, you may reveal it and add it to your hand. Return any remaining card to the bottom of your deck.",GD01,48,1
Blitz Gundam,Red,R,4,3,UNIT,3,3,Space Earth,(ZAFT),[Nicol Amarfi],"【Deploy】Choose 1 of your (ZAFT) Units with 5 or more AP. It gains <First Strike> during this turn. (While this Unit is attacking, it deals damage before the enemy Unit.)",GD01,49,1
LaGOWE,Red,R,3,2,UNIT,2,3,Earth,(ZAFT),(ZAFT) Trait,"【Attack】If this Unit has 5 or more AP and it is attacking an enemy Unit, choose 1 enemy Unit. Deal 2 damage to it.",GD01,50,1
LaGOWE,Red,R +,3,2,UNIT,2,3,Earth,(ZAFT),(ZAFT) Trait,"【Attack】If this Unit has 5 or more AP and it is attacking an enemy Unit, choose 1 enemy Unit. Deal 2 damage to it.",GD01,50,1
Kshatriya,Red,U,4,2,UNIT,3,4,Space Earth,(Neo Zeon),(Cyber-Newtype) Trait,-,GD01,51,1
Geara Zulu (Guards Type),Red,U,4,3,UNIT,2,4,Space Earth,(Neo Zeon),-,【Deploy】Choose 1 enemy Unit. Deal 1 damage to it.,GD01,52,1
Geara Doga (Heavy Armed Type),Red,U,4,3,UNIT,4,2,Space Earth,(Neo Zeon),-,【Activate･Main】【Once per Turn】①：Choose 1 enemy Unit with 2 or less AP. Deal 1 damage to it.,GD01,53,1
Duel Gundam,Red,R,3,2,UNIT,3,3,Space Earth,(ZAFT),(ZAFT) Trait,"While this Unit has 5 or more AP, it gains <Breach 3>. (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)",GD01,54,1
BuCUE,Red,U,3,2,UNIT,2,3,Earth,(ZAFT),-,【Activate･Main】<Support 2> (Rest this Unit. 1 other friendly Unit gets AP+(specified amount) during this turn.),GD01,55,1
Geara Doga (Sleeves),Red,C,3,2,UNIT,2,3,Space Earth,(Neo Zeon),-,【Destroyed】Choose 1 enemy Unit with 5 or less AP. Deal 1 damage to it.,GD01,56,1
Dreissen (Sleeves),Red,C,2,2,UNIT,2,3,Space Earth,(Neo Zeon),-,-,GD01,57,1
Galluss-K,Red,C,3,2,UNIT,3,2,Space Earth,(Zeon),-,【Activate･Action】【Once per Turn】①：Choose 1 Unit that is Lv.4 or higher. It gets AP+1 during this battle.,GD01,58,1
Zee Zulu,Red,C,2,2,UNIT,2,2,Earth,(Neo Zeon),-,"【Attack】If you are attacking the enemy player, this Unit gets AP+2 during this battle.",GD01,59,1
Zaku Mariner,Red,C,2,1,UNIT,2,2,Earth,(Zeon),-,-,GD01,60,1
ZuOOT,Red,C,1,1,UNIT,-,2,Earth,(ZAFT),-,【Activate･Main】<Support 1> (Rest this Unit. 1 other friendly Unit gets AP+(specified amount) during this turn.),GD01,61,1
GOOhN,Red,C,1,1,UNIT,1,2,Earth,(ZAFT),-,-,GD01,62,1
ZnO,Red,U,2,2,UNIT,2,1,Earth,(ZAFT),(ZAFT) Trait,"During your turn, while this Unit is battling an enemy Unit that is Lv.2 or lower, it gains <First Strike>. (While this Unit is attacking, it deals damage before the enemy Unit.)",GD01,63,1
DINN,Red,C,2,2,UNIT,3,2,Earth,(ZAFT),-,-,GD01,64,1
Freedom Gundam,White,LR,7,5,UNIT,4,6,Space Earth,(Triple Ship Alliance),[Kira Yamato],"<Blocker> (Rest this Unit to change the attack target to it.) 【During Pair】【Once per Turn】When you pair a Pilot with this Unit or one of your white Units, choose 1 enemy Unit. It gets AP-2 during this turn.",GD01,65,1
